,Points,Points-Mean,(Points-Mean)^2,Score,Score-Mean,(Score-Mean)^2,Weigh,Weigh-Mean,(Weigh-Mean)^2,,For Points,,,For Score,,,For Weigh,
Mazda RX4,3.9,0.3034375,0.092074316,2.62,-0.59725,0.356707562,16.46,-1.38875,1.928626563,,N,32,,N,32,,N,32
Mazda RX4 Wag,3.9,0.3034375,0.092074316,2.875,-0.34225,0.117135063,17.02,-0.82875,0.686826563,,Mean,3.5965625,,Mean,3.21725,,Mean,17.84875
Datsun 710,3.85,0.2534375,0.064230566,2.32,-0.89725,0.805057562,18.61,0.76125,0.579501562,,Median,3.695,,Median,3.325,,Median,17.71
Hornet 4 Drive,3.08,-0.5165625,0.266836816,3.215,-0.00225,5.0625E-06,19.44,1.59125,2.532076563,,Mode,3.92,,Mode,3.44,,Mode,17.02
Hornet Sportabout,3.15,-0.4465625,0.199418066,3.44,0.22275,0.049617563,17.02,-0.82875,0.686826563,,Variance,0.276947559,,Variance,0.927460875,,Variance,3.093379688
Valiant,2.76,-0.8365625,0.699836816,3.46,0.24275,0.058927563,20.22,2.37125,5.622826562,,Std Dev,0.526258072,,Std Dev,0.963047701,,Std Dev,1.758800639
Duster 360,3.21,-0.3865625,0.149430566,3.57,0.35275,0.124432563,15.84,-2.00875,4.035076563,,Range,2.17,,Range,3.911,,Range,8.4
Merc 240D,3.69,0.0934375,0.008730566,3.19,-0.02725,0.000742562,20,2.15125,4.627876562,,,,,,,,,
Merc 230,3.92,0.3234375,0.104611816,3.15,-0.06725,0.004522562,22.9,5.05125,25.51512656,,,,,,,,,
Merc 280,3.92,0.3234375,0.104611816,3.44,0.22275,0.049617563,18.3,0.45125,0.203626562,,,,,,,,,
Merc 280C,3.92,0.3234375,0.104611816,3.44,0.22275,0.049617563,18.9,1.05125,1.105126562,,,,,,,,,
Merc 450SE,3.07,-0.5265625,0.277268066,4.07,0.85275,0.727182563,17.4,-0.44875,0.201376563,,,,,,,,,
Merc 450SL,3.07,-0.5265625,0.277268066,3.73,0.51275,0.262912563,17.6,-0.24875,0.061876563,,,,,,,,,
Merc 450SLC,3.07,-0.5265625,0.277268066,3.78,0.56275,0.316687563,18,0.15125,0.022876562,,,,,,,,,
Cadillac Fleetwood,2.93,-0.6665625,0.444305566,5.25,2.03275,4.132072563,17.98,0.13125,0.017226562,,,,,,,,,
Lincoln Continental,3,-0.5965625,0.355886816,5.424,2.20675,4.869745563,17.82,-0.02875,0.000826563,,,,,,,,,
Chrysler Imperial,3.23,-0.3665625,0.134368066,5.345,2.12775,4.527320063,17.42,-0.42875,0.183826563,,,,,,,,,
Fiat 128,4.08,0.4834375,0.233711816,2.2,-1.01725,1.034797563,19.47,1.62125,2.628451562,,,,,,,,,
Honda Civic,4.93,1.3334375,1.778055566,1.615,-1.60225,2.567205063,18.52,0.67125,0.450576562,,,,,,,,,
Toyota Corolla,4.22,0.6234375,0.388674316,1.835,-1.38225,1.910615063,19.9,2.05125,4.207626562,,,,,,,,,
Toyota Corona,3.7,0.1034375,0.010699316,2.465,-0.75225,0.565880062,20.01,2.16125,4.671001563,,,,,,,,,
Dodge Challenger,2.76,-0.8365625,0.699836816,3.52,0.30275,0.091657563,16.87,-0.97875,0.957951563,,,,,,,,,
AMC Javelin,3.15,-0.4465625,0.199418066,3.435,0.21775,0.047415063,17.3,-0.54875,0.301126563,,,,,,,,,
Camaro Z28,3.73,0.1334375,0.017805566,3.84,0.62275,0.387817563,15.41,-2.43875,5.947501563,,,,,,,,,
Pontiac Firebird,3.08,-0.5165625,0.266836816,3.845,0.62775,0.394070063,17.05,-0.79875,0.638001563,,,,,,,,,
Fiat X1-9,4.08,0.4834375,0.233711816,1.935,-1.28225,1.644165063,18.9,1.05125,1.105126562,,,,,,,,,
Porsche 914-2,4.43,0.8334375,0.694618066,2.14,-1.07725,1.160467563,16.7,-1.14875,1.319626563,,,,,,,,,
Lotus Europa,3.77,0.1734375,0.030080566,1.513,-1.70425,2.904468063,16.9,-0.94875,0.900126563,,,,,,,,,
Ford Pantera L,4.22,0.6234375,0.388674316,3.17,-0.04725,0.002232562,14.5,-3.34875,11.21412656,,,,,,,,,
Ferrari Dino,3.62,0.0234375,0.000549316,2.77,-0.44725,0.200032563,15.5,-2.34875,5.516626563,,,,,,,,,
Maserati Bora,3.54,-0.0565625,0.003199316,3.57,0.35275,0.124432563,14.6,-3.24875,10.55437656,,,,,,,,,
Volvo 142E,4.11,0.5134375,0.263618066,2.78,-0.43725,0.191187563,18.6,0.75125,0.564376562,,,,,,,,,
